Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Peter Olayinka,Left Winger,20,15/16,Nigeria,KF Skënderbeu,Kategoria Superiore,Albania,KAA Gent,Jupiler Pro League,Belgium,€1.10m,False,https://img.a.transfermarkt.technology/portrait/medium/248393-1632250522.png?lm=1
Liridon Latifi,Right Midfield,23,17/18,Albania/Kosovo,KF Skënderbeu,Kategoria Superiore,Albania,Puskás AFC,NB I.,Hungary,€1.00m,False,https://img.a.transfermarkt.technology/portrait/medium/226190-1584504186.png?lm=1
Kristal Abazaj,Right Winger,22,18/19,Albania,KF Skënderbeu,Kategoria Superiore,Albania,RSC Anderlecht,Jupiler Pro League,Belgium,€750Th.,False,https://img.a.transfermarkt.technology/portrait/medium/481795-1530186577.jpg?lm=1
Sidrit Guri,Centre-Forward,24,18/19,Albania/Italy,FK Kukësi,Kategoria Superiore,Albania,KV Oostende,Jupiler Pro League,Belgium,€710Th.,False,https://img.a.transfermarkt.technology/portrait/medium/189604-1616788966.jpg?lm=1
Ernest Muci,Centre-Forward,19,20/21,Albania,KF Tirana,Kategoria Superiore,Albania,Legia Warszawa,Ekstraklasa,Poland,€500Th.,False,https://img.a.transfermarkt.technology/portrait/medium/583917-1577735267.JPG?lm=1
Fidan Aliti,Left-Back,25,18/19,Kosovo/Switzerland,KF Skënderbeu,Kategoria Superiore,Albania,Kalmar FF,Allsvenskan,Sweden,€375Th.,False,https://img.a.transfermarkt.technology/portrait/medium/182870-1537642881.png?lm=1
Myrto Uzuni,Left Winger,23,18/19,Albania,KF Laçi,Kategoria Superiore,Albania,NK Lokomotiva,1.HNL,Croatia,€350Th.,False,https://img.a.transfermarkt.technology/portrait/medium/315289-1610917553.jpg?lm=1
James,Centre-Forward,25,18/19,Nigeria,KF Skënderbeu,Kategoria Superiore,Albania,FK Qabala,Premyer Liqa,Azerbaijan,€350Th.,False,https://img.a.transfermarkt.technology/portrait/medium/244043-1476446898.png?lm=1
Agim Zeka,Right Winger,18,16/17,Albania/Kosovo,KF Skënderbeu,Kategoria Superiore,Albania,LOSC Lille B,CFA - Grp. B,France,€300Th.,False,https://img.a.transfermarkt.technology/portrait/medium/342824-1629751091.jpg?lm=1
Jurgen Çelhaka,Central Midfield,20,21/22,Albania,KF Tirana,Kategoria Superiore,Albania,Legia Warszawa,Ekstraklasa,Poland,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/622727-1577735427.JPG?lm=1
Lorenc Trashi,Left-Back,28,20/21,Albania,FK Partizani,Kategoria Superiore,Albania,Qadsia SC,Kuwait,Kuwait,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/289170-1536090587.jpg?lm=1
Bakary Nimaga,Defensive Midfield,23,18/19,Mali,KF Skënderbeu,Kategoria Superiore,Albania,Hatayspor,1.Lig,Turkey,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/257730-1601390515.png?lm=1
Bernard Berisha,Left Winger,24,15/16,Kosovo/Albania,KF Skënderbeu,Kategoria Superiore,Albania,Anzhi,Premier Liga,Russia,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/240226-1605979135.png?lm=1
Elis Bakaj,Attacking Midfield,23,10/11,Albania,Dinamo Tiranë,Kategoria Superiore,Albania,Dinamo,Liga 1,Romania,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/58514-1616166994.png?lm=1
Emiljano Vila,Attacking Midfield,21,09/10,Albania,KF Teuta,Kategoria Superiore,Albania,Dinamo Zagreb,Friendlies,Croatia,€250Th.,False,https://img.a.transfermarkt.technology/portrait/medium/54714-1605771740.jpg?lm=1
Kristal Abazaj,Right Winger,21,17/18,Albania,FC Luftëtari,Kategoria Superiore,Albania,KF Skënderbeu,Kategoria Superiore,Albania,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/481795-1530186577.jpg?lm=1
Ylber Ramadani,Defensive Midfield,21,17/18,Albania/Kosovo,FK Partizani,Kategoria Superiore,Albania,Vejle BK,1.Division,Denmark,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/442703-1476654297.jpg?lm=1
Bekim Balaj,Centre-Forward,19,10/11,Albania,KF Vllaznia,Kategoria Superiore,Albania,Genclerbirligi,Süper Lig,Turkey,€200Th.,False,https://img.a.transfermarkt.technology/portrait/medium/99137-1627029456.png?lm=1
Patrick Friday Eze,Centre-Forward,28,21/22,Nigeria,FK Kukësi,Kategoria Superiore,Albania,Al-Ahli SC,Stars League,Qatar,€150Th.,False,https://img.a.transfermarkt.technology/portrait/medium/221118-1504014512.png?lm=1
