Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Ousmane Dembélé,Right Winger,20,17/18,France,Bor. Dortmund,Bundesliga,Germany,Barcelona,LaLiga,Spain,€135.00m,False,https://img.a.transfermarkt.technology/portrait/medium/288230-1561038993.jpg?lm=1
Jadon Sancho,Right Winger,21,21/22,England,Bor. Dortmund,Bundesliga,Germany,Man Utd,Premier League,England,€85.00m,False,https://img.a.transfermarkt.technology/portrait/medium/401173-1623778009.jpg?lm=1
Kai Havertz,Attacking Midfield,21,20/21,Germany,Bay. Leverkusen,Bundesliga,Germany,Chelsea,Premier League,England,€80.00m,False,https://img.a.transfermarkt.technology/portrait/medium/309400-1620646226.jpg?lm=1
Lucas Hernández,Centre-Back,23,19/20,France/Spain,Atlético Madrid,LaLiga,Spain,FC Bayern ,Bundesliga,Germany,€80.00m,False,https://img.a.transfermarkt.technology/portrait/medium/281963-1569907038.jpg?lm=1
Kevin De Bruyne,Attacking Midfield,24,15/16,Belgium,VfL Wolfsburg,Bundesliga,Germany,Man City,Premier League,England,€76.00m,False,https://img.a.transfermarkt.technology/portrait/medium/88755-1626449012.jpg?lm=1
Christian Pulisic,Right Winger,20,18/19,United States/Croatia,Bor. Dortmund,Bundesliga,Germany,Chelsea,Premier League,England,€64.00m,False,https://img.a.transfermarkt.technology/portrait/medium/315779-1534236289.jpg?lm=1
Pierre-Emerick Aubameyang,Centre-Forward,28,17/18,Gabon/France,Bor. Dortmund,Bundesliga,Germany,Arsenal,Premier League,England,€63.75m,False,https://img.a.transfermarkt.technology/portrait/medium/58864-1545407105.jpg?lm=1
Luka Jovic,Centre-Forward,21,19/20,Serbia,E. Frankfurt,Bundesliga,Germany,Real Madrid,LaLiga,Spain,€63.00m,False,https://img.a.transfermarkt.technology/portrait/medium/257462-1533115178.jpg?lm=1
Naby Keïta,Central Midfield,23,18/19,Guinea,RB Leipzig,Bundesliga,Germany,Liverpool,Premier League,England,€60.00m,False,https://img.a.transfermarkt.technology/portrait/medium/302215-1503302375.jpg?lm=1
Timo Werner,Centre-Forward,24,20/21,Germany,RB Leipzig,Bundesliga,Germany,Chelsea,Premier League,England,€53.00m,False,https://img.a.transfermarkt.technology/portrait/medium/170527-1471002206.jpg?lm=1
Leroy Sané,Right Winger,20,16/17,Germany/France,FC Schalke 04,Bundesliga,Germany,Man City,Premier League,England,€52.00m,False,https://img.a.transfermarkt.technology/portrait/medium/192565-1624802554.jpg?lm=1
Sébastien Haller,Centre-Forward,25,19/20,Cote d'Ivoire/France,E. Frankfurt,Bundesliga,Germany,West Ham,Premier League,England,€50.00m,False,https://img.a.transfermarkt.technology/portrait/medium/181375-1533115156.jpg?lm=1
Leroy Sané,Right Winger,24,20/21,Germany/France,Man City,Premier League,England,FC Bayern ,Bundesliga,Germany,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/192565-1624802554.jpg?lm=1
Granit Xhaka,Defensive Midfield,23,16/17,Switzerland,Bor. M'gladbach,Bundesliga,Germany,Arsenal,Premier League,England,€45.00m,False,https://img.a.transfermarkt.technology/portrait/medium/111455-1583763084.jpg?lm=1
Joelinton,Centre-Forward,22,19/20,Brazil,TSG Hoffenheim,Bundesliga,Germany,Newcastle,Premier League,England,€44.00m,False,https://img.a.transfermarkt.technology/portrait/medium/333241-1532693216.jpg?lm=1
