Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Cristiano Ronaldo,Centre-Forward,33,18/19,Portugal,Real Madrid,LaLiga,Spain,Juventus,Serie A,Italy,€117.00m,False,https://img.a.transfermarkt.technology/portrait/medium/8198-1626161872.jpg?lm=1
Romelu Lukaku,Centre-Forward,28,21/22,Belgium/DR Congo,Inter,Serie A,Italy,Chelsea,Premier League,England,€115.00m,False,https://img.a.transfermarkt.technology/portrait/medium/96341-1596033546.jpg?lm=1
Paul Pogba,Central Midfield,23,16/17,France,Juventus,Serie A,Italy,Man Utd,Premier League,England,€105.00m,False,https://img.a.transfermarkt.technology/portrait/medium/122153-1582114937.jpg?lm=1
Gonzalo Higuaín,Centre-Forward,28,16/17,Argentina/France,SSC Napoli,Serie A,Italy,Juventus,Serie A,Italy,€90.00m,False,https://img.a.transfermarkt.technology/portrait/medium/39153-1618682679.jpg?lm=1
Matthijs de Ligt,Centre-Back,19,19/20,Netherlands,Ajax,Eredivisie,Netherlands,Juventus,Serie A,Italy,€85.50m,False,https://img.a.transfermarkt.technology/portrait/medium/326031-1568111537.jpg?lm=1
Zinédine Zidane,Attacking Midfield,29,01/02,France/Algeria,Juventus,Serie A,Italy,Real Madrid,LaLiga,Spain,€77.50m,False,https://img.a.transfermarkt.technology/portrait/medium/3111-1478769687.jpg?lm=1
Romelu Lukaku,Centre-Forward,26,19/20,Belgium/DR Congo,Man Utd,Premier League,England,Inter,Serie A,Italy,€74.00m,False,https://img.a.transfermarkt.technology/portrait/medium/96341-1596033546.jpg?lm=1
Arthur,Central Midfield,24,20/21,Brazil,Barcelona,LaLiga,Spain,Juventus,Serie A,Italy,€72.00m,False,https://img.a.transfermarkt.technology/portrait/medium/362842-1599988056.jpg?lm=1
Victor Osimhen,Centre-Forward,21,20/21,Nigeria,LOSC Lille,Ligue 1,France,SSC Napoli,Serie A,Italy,€70.00m,False,https://img.a.transfermarkt.technology/portrait/medium/401923-1570439308.jpg?lm=1
Zlatan Ibrahimovic,Centre-Forward,27,09/10,Sweden/Bosnia-Herzegovina,Inter,Serie A,Italy,Barcelona,LaLiga,Spain,€69.50m,False,https://img.a.transfermarkt.technology/portrait/medium/3455-1579506060.jpg?lm=1
