Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Jô,Centre-Forward,30,17/18,Brazil,Corinthians,Série A,Brazil,Nagoya Grampus,J1 League,Japan,€11.00m,False,https://img.a.transfermarkt.technology/portrait/medium/34156-1515069391.jpg?lm=1
Leandro,Centre-Forward,24,09/10,Brazil,Gamba Osaka,J.League Div.1,Japan,Al-Sadd SC,Qatar,Qatar,€7.50m,False,https://img.a.transfermarkt.technology/portrait/medium/111071-1628683679.jpg?lm=1
Michael Olunga,Centre-Forward,26,20/21,Kenya,Kashiwa Reysol,J1 League,Japan,Al-Duhail SC,Stars League,Qatar,€6.00m,False,https://img.a.transfermarkt.technology/portrait/medium/263482-1485253658.jpg?lm=1
Baré,Centre-Forward,26,08/09,Brazil,Gamba Osaka,J.League Div.1,Japan,Al-Ahli (UAE),United,United Arab Emirates,€6.00m,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Emerson,Left Winger,26,05/06,Qatar/Brazil,Urawa Reds,J.League Div.1,Japan,Al-Sadd SC,Qatar,Qatar,€6.00m,False,https://img.a.transfermarkt.technology/portrait/medium/57159-1543928565.jpg?lm=1
Davi,Centre-Forward,25,09/10,Brazil,Nagoya Grampus,J.League Div.1,Japan,Umm Salal SC,Qatar,Qatar,€5.70m,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Kyogo Furuhashi,Left Winger,26,21/22,Japan,Vissel Kobe,J1 League,Japan,Celtic,Premiership,Scotland,€5.40m,False,https://img.a.transfermarkt.technology/portrait/medium/489463-1568202942.jpg?lm=1
Hiroshi Kiyotake,Left Midfield,27,16/17,Japan,Sevilla FC,LaLiga,Spain,Cerezo Osaka,J1 League,Japan,€5.10m,False,https://img.a.transfermarkt.technology/portrait/medium/86175-1442822080.jpg?lm=1
Fabrício,Left Winger,28,18/19,Brazil,Portimonense,Liga NOS,Portugal,Urawa Reds,J1 League,Japan,€5.00m,False,https://img.a.transfermarkt.technology/portrait/medium/173617-1441720737.jpg?lm=1
Rafael Silva,Centre-Forward,25,17/18,Brazil,Urawa Reds,J1 League,Japan,WH Zall,League One,China,€5.00m,False,https://img.a.transfermarkt.technology/portrait/medium/s_213619_776_2010_2.jpg?lm=1
Adriano,Centre-Forward,29,10/11,Brazil,Gamba Osaka,J.League Div.1,Japan,El-Jaish,Qatar,Qatar,€4.30m,False,https://img.a.transfermarkt.technology/portrait/medium/s_55254_33288_2010_2.jpg?lm=1
Takuma Asano,Right Winger,21,16/17,Japan,Sanf. Hiroshima,J1 - 2nd Stage,Japan,Arsenal,Premier League,England,€4.00m,False,https://img.a.transfermarkt.technology/portrait/medium/245744-1626268887.jpg?lm=1
Diego Souza,Attacking Midfield,24,08/09,Brazil,Tokyo Verdy,J.League Div.2,Japan,Kyoto Sanga,J.League Div.1,Japan,€4.00m,False,https://img.a.transfermarkt.technology/portrait/medium/83942-1629879486.jpg?lm=1
Rony,Left Winger,21,16/17,Brazil,Cruzeiro,Série A,Brazil,Albirex Niigata,J1 League,Japan,€3.70m,False,https://img.a.transfermarkt.technology/portrait/medium/371009-1582109366.jpg?lm=1
Roni,Centre-Forward,31,08/09,Brazil,Yokohama F. M.,J.League Div.1,Japan,Gamba Osaka,J.League Div.1,Japan,€3.50m,False,https://img.a.transfermarkt.technology/portrait/medium/s_15870_5677_2010_1.jpg?lm=1
Dudu Cearense,Central Midfield,21,04/05,Brazil,Kashiwa Reysol,J.League Div.1,Japan,CSKA Moscow,Premier Liga,Russia,€3.50m,False,https://img.a.transfermarkt.technology/portrait/medium/22943-1551086107.jpg?lm=1
Kaoru Mitoma,Left Winger,24,21/22,Japan,Kawasaki Front.,J1 League,Japan,Brighton,Premier League,England,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/504849-1608297910.jpg?lm=1
Gen Shoji,Centre-Back,26,18/19,Japan,Kashima Antlers,J1 League,Japan,Toulouse,Ligue 1,France,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/164277-1493221638.jpg?lm=1
Caio Lucas,Left Midfield,22,16/17,Brazil,Kashima Antlers,J1 - 2nd Stage,Japan,Al-Ain FC,UAE Pro League,United Arab Emirates,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/308441-1572338054.jpg?lm=1
Bo-kyung Kim,Attacking Midfield,22,12/13,"Korea, South",Cerezo Osaka,J.League Div.1,Japan,Cardiff,Championship,Wales,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/128375-1584689092.jpg?lm=1
